id,timestamp,runtime(ms),A-X00-Y00,A-X01-Y00,A-X02-Y00,A-X03-Y00,A-X04-Y00,A-X05-Y00,A-X06-Y00,A-X07-Y00,A-X08-Y00,A-X09-Y00,A-X10-Y00,A-X11-Y00,A-X00-Y01,A-X01-Y01,A-X02-Y01,A-X03-Y01,A-X04-Y01,A-X05-Y01,A-X06-Y01,A-X07-Y01,A-X08-Y01,A-X09-Y01,A-X10-Y01,A-X11-Y01,A-X00-Y02,A-X01-Y02,A-X02-Y02,A-X03-Y02,A-X04-Y02,A-X05-Y02,A-X06-Y02,A-X07-Y02,A-X08-Y02,A-X09-Y02,A-X10-Y02,A-X11-Y02,A-X00-Y03,A-X01-Y03,A-X02-Y03,A-X03-Y03,A-X04-Y03,A-X05-Y03,A-X06-Y03,A-X07-Y03,A-X08-Y03,A-X09-Y03,A-X10-Y03,A-X11-Y03,A-X00-Y04,A-X01-Y04,A-X02-Y04,A-X03-Y04,A-X04-Y04,A-X05-Y04,A-X06-Y04,A-X07-Y04,A-X08-Y04,A-X09-Y04,A-X10-Y04,A-X11-Y04,A-X00-Y05,A-X01-Y05,A-X02-Y05,A-X03-Y05,A-X04-Y05,A-X05-Y05,A-X06-Y05,A-X07-Y05,A-X08-Y05,A-X09-Y05,A-X10-Y05,A-X11-Y05,A-X00-Y06,A-X01-Y06,A-X02-Y06,A-X03-Y06,A-X04-Y06,A-X05-Y06,A-X06-Y06,A-X07-Y06,A-X08-Y06,A-X09-Y06,A-X10-Y06,A-X11-Y06,A-X00-Y07,A-X01-Y07,A-X02-Y07,A-X03-Y07,A-X04-Y07,A-X05-Y07,A-X06-Y07,A-X07-Y07,A-X08-Y07,A-X09-Y07,A-X10-Y07,A-X11-Y07,A-X00-Y08,A-X01-Y08,A-X02-Y08,A-X03-Y08,A-X04-Y08,A-X05-Y08,A-X06-Y08,A-X07-Y08,A-X08-Y08,A-X09-Y08,A-X10-Y08,A-X11-Y08,A-X00-Y09,A-X01-Y09,A-X02-Y09,A-X03-Y09,A-X04-Y09,A-X05-Y09,A-X06-Y09,A-X07-Y09,A-X08-Y09,A-X09-Y09,A-X10-Y09,A-X11-Y09
0,20240926-130014,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493,0,0,0,0,0,0,0,0,0,0,1471,273,396,333,0,950,0,0,0,0,0,108,1103,991,227,2515,553,630,24,0,0,0,0,0,649,0,0,763,1128,2121,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20240926-130014,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1498,0,0,0,0,0,0,0,0,0,0,1485,275,403,339,0,959,0,0,0,0,0,107,1111,1000,199,2515,559,663,23,0,0,0,0,0,663,0,0,766,1127,2125,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20240926-130014,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1507,0,0,0,0,0,0,0,0,0,0,1485,275,403,372,0,981,0,0,0,0,0,108,1111,1016,237,2519,559,665,22,0,0,0,0,0,659,0,0,775,1127,2131,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,20240926-130014,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1517,0,0,0,0,0,0,0,0,0,0,1495,275,409,411,0,1000,0,0,0,0,0,123,1125,951,188,2524,571,671,37,0,0,0,0,0,661,0,0,780,1124,2135,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20240926-130014,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529,0,0,0,0,0,0,0,0,0,0,1495,273,407,418,0,1019,0,0,0,0,0,125,1127,955,179,2527,605,683,37,0,0,0,0,0,665,0,0,775,1125,2138,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,20240926-130014,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532,0,0,0,0,0,0,0,0,0,0,1491,273,412,423,0,1039,0,0,0,0,0,125,1141,955,189,2533,595,685,35,0,0,0,0,0,672,0,0,776,1123,2131,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20240926-130014,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541,0,0,0,0,0,0,0,0,0,0,1485,275,420,465,0,1052,0,0,0,0,0,123,1132,956,189,2534,601,713,45,0,0,0,0,0,677,0,0,777,1131,2137,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20240926-130014,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529,0,0,0,0,0,0,0,0,0,0,1499,277,422,475,0,1071,0,0,0,0,0,137,1144,931,187,2540,568,731,45,0,0,0,0,0,678,0,0,777,1147,2139,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20240926-130014,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,0,0,0,0,0,0,0,0,0,0,1499,270,399,463,0,1080,0,0,0,0,0,139,1144,911,185,2535,583,743,56,0,0,0,0,0,671,0,0,773,1144,2141,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20240926-130014,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,0,0,0,0,0,0,0,0,0,0,1501,267,355,459,0,1123,0,0,0,0,0,139,1143,867,176,2535,587,750,53,0,0,0,0,0,668,0,0,765,1149,2149,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
