id,timestamp,runtime(ms),A-X00-Y00,A-X01-Y00,A-X02-Y00,A-X03-Y00,A-X04-Y00,A-X05-Y00,A-X06-Y00,A-X07-Y00,A-X08-Y00,A-X09-Y00,A-X10-Y00,A-X11-Y00,A-X00-Y01,A-X01-Y01,A-X02-Y01,A-X03-Y01,A-X04-Y01,A-X05-Y01,A-X06-Y01,A-X07-Y01,A-X08-Y01,A-X09-Y01,A-X10-Y01,A-X11-Y01,A-X00-Y02,A-X01-Y02,A-X02-Y02,A-X03-Y02,A-X04-Y02,A-X05-Y02,A-X06-Y02,A-X07-Y02,A-X08-Y02,A-X09-Y02,A-X10-Y02,A-X11-Y02,A-X00-Y03,A-X01-Y03,A-X02-Y03,A-X03-Y03,A-X04-Y03,A-X05-Y03,A-X06-Y03,A-X07-Y03,A-X08-Y03,A-X09-Y03,A-X10-Y03,A-X11-Y03,A-X00-Y04,A-X01-Y04,A-X02-Y04,A-X03-Y04,A-X04-Y04,A-X05-Y04,A-X06-Y04,A-X07-Y04,A-X08-Y04,A-X09-Y04,A-X10-Y04,A-X11-Y04,A-X00-Y05,A-X01-Y05,A-X02-Y05,A-X03-Y05,A-X04-Y05,A-X05-Y05,A-X06-Y05,A-X07-Y05,A-X08-Y05,A-X09-Y05,A-X10-Y05,A-X11-Y05,A-X00-Y06,A-X01-Y06,A-X02-Y06,A-X03-Y06,A-X04-Y06,A-X05-Y06,A-X06-Y06,A-X07-Y06,A-X08-Y06,A-X09-Y06,A-X10-Y06,A-X11-Y06,A-X00-Y07,A-X01-Y07,A-X02-Y07,A-X03-Y07,A-X04-Y07,A-X05-Y07,A-X06-Y07,A-X07-Y07,A-X08-Y07,A-X09-Y07,A-X10-Y07,A-X11-Y07,A-X00-Y08,A-X01-Y08,A-X02-Y08,A-X03-Y08,A-X04-Y08,A-X05-Y08,A-X06-Y08,A-X07-Y08,A-X08-Y08,A-X09-Y08,A-X10-Y08,A-X11-Y08,A-X00-Y09,A-X01-Y09,A-X02-Y09,A-X03-Y09,A-X04-Y09,A-X05-Y09,A-X06-Y09,A-X07-Y09,A-X08-Y09,A-X09-Y09,A-X10-Y09,A-X11-Y09
0,20241024-172548,57,2356,0,0,0,0,0,0,0,0,0,0,0,1783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2312,0,0,0,0,0,0,0,0,0,0,0,2149,0,0,0,0,0,0,0,0,0,0,0
1,20241024-172548,91,2357,0,0,0,0,0,0,0,0,0,0,0,1784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2313,0,0,0,0,0,0,0,0,0,0,0,2147,0,0,0,0,0,0,0,0,0,0,0
2,20241024-172548,150,2357,0,0,0,0,0,0,0,0,0,0,0,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2313,0,0,0,0,0,0,0,0,0,0,0,2149,0,0,0,0,0,0,0,0,0,0,0
3,20241024-172548,181,2356,0,0,0,0,0,0,0,0,0,0,0,1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2322,0,0,0,0,0,0,0,0,0,0,0,2143,0,0,0,0,0,0,0,0,0,0,0
4,20241024-172548,210,2357,0,0,0,0,0,0,0,0,0,0,0,1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2317,0,0,0,0,0,0,0,0,0,0,0,2137,0,0,0,0,0,0,0,0,0,0,0
5,20241024-172548,244,2357,0,0,0,0,0,0,0,0,0,0,0,1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2315,0,0,0,0,0,0,0,0,0,0,0,2131,0,0,0,0,0,0,0,0,0,0,0
6,20241024-172548,294,2359,0,0,0,0,0,0,0,0,0,0,0,1784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2326,0,0,0,0,0,0,0,0,0,0,0,2117,0,0,0,0,0,0,0,0,0,0,0
7,20241024-172548,347,2359,0,0,0,0,0,0,0,0,0,0,0,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2331,0,0,0,0,0,0,0,0,0,0,0,2121,0,0,0,0,0,0,0,0,0,0,0
8,20241024-172548,393,2348,0,0,0,0,0,0,0,0,0,0,0,1789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2325,0,0,0,0,0,0,0,0,0,0,0,2140,0,0,0,0,0,0,0,0,0,0,0
9,20241024-172548,427,2359,0,0,0,0,0,0,0,0,0,0,0,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2323,0,0,0,0,0,0,0,0,0,0,0,2131,0,0,0,0,0,0,0,0,0,0,0
