Web Safety Color 216
https://edyoon.tistory.com/1069
int rgb_8bit = r / 51 * 36 + g / 51 * 6 + b / 51;

rgb_8bit[0] : R=0, G=0, B=0
rgb_8bit[1] : R=0, G=0, B=51
rgb_8bit[2] : R=0, G=0, B=102
rgb_8bit[3] : R=0, G=0, B=153
rgb_8bit[4] : R=0, G=0, B=204
rgb_8bit[5] : R=0, G=0, B=255
rgb_8bit[6] : R=0, G=51, B=0
rgb_8bit[7] : R=0, G=51, B=51
rgb_8bit[8] : R=0, G=51, B=102
rgb_8bit[9] : R=0, G=51, B=153
rgb_8bit[10] : R=0, G=51, B=204
rgb_8bit[11] : R=0, G=51, B=255
rgb_8bit[12] : R=0, G=102, B=0
rgb_8bit[13] : R=0, G=102, B=51
rgb_8bit[14] : R=0, G=102, B=102
rgb_8bit[15] : R=0, G=102, B=153
rgb_8bit[16] : R=0, G=102, B=204
rgb_8bit[17] : R=0, G=102, B=255
rgb_8bit[18] : R=0, G=153, B=0
rgb_8bit[19] : R=0, G=153, B=51
rgb_8bit[20] : R=0, G=153, B=102
rgb_8bit[21] : R=0, G=153, B=153
rgb_8bit[22] : R=0, G=153, B=204
rgb_8bit[23] : R=0, G=153, B=255
rgb_8bit[24] : R=0, G=204, B=0
rgb_8bit[25] : R=0, G=204, B=51
rgb_8bit[26] : R=0, G=204, B=102
rgb_8bit[27] : R=0, G=204, B=153
rgb_8bit[28] : R=0, G=204, B=204
rgb_8bit[29] : R=0, G=204, B=255
rgb_8bit[30] : R=0, G=255, B=0
rgb_8bit[31] : R=0, G=255, B=51
rgb_8bit[32] : R=0, G=255, B=102
rgb_8bit[33] : R=0, G=255, B=153
rgb_8bit[34] : R=0, G=255, B=204
rgb_8bit[35] : R=0, G=255, B=255
rgb_8bit[36] : R=51, G=0, B=0
rgb_8bit[37] : R=51, G=0, B=51
rgb_8bit[38] : R=51, G=0, B=102
rgb_8bit[39] : R=51, G=0, B=153
rgb_8bit[40] : R=51, G=0, B=204
rgb_8bit[41] : R=51, G=0, B=255
rgb_8bit[42] : R=51, G=51, B=0
rgb_8bit[43] : R=51, G=51, B=51
rgb_8bit[44] : R=51, G=51, B=102
rgb_8bit[45] : R=51, G=51, B=153
rgb_8bit[46] : R=51, G=51, B=204
rgb_8bit[47] : R=51, G=51, B=255
rgb_8bit[48] : R=51, G=102, B=0
rgb_8bit[49] : R=51, G=102, B=51
rgb_8bit[50] : R=51, G=102, B=102
rgb_8bit[51] : R=51, G=102, B=153
rgb_8bit[52] : R=51, G=102, B=204
rgb_8bit[53] : R=51, G=102, B=255
rgb_8bit[54] : R=51, G=153, B=0
rgb_8bit[55] : R=51, G=153, B=51
rgb_8bit[56] : R=51, G=153, B=102
rgb_8bit[57] : R=51, G=153, B=153
rgb_8bit[58] : R=51, G=153, B=204
rgb_8bit[59] : R=51, G=153, B=255
rgb_8bit[60] : R=51, G=204, B=0
rgb_8bit[61] : R=51, G=204, B=51
rgb_8bit[62] : R=51, G=204, B=102
rgb_8bit[63] : R=51, G=204, B=153
rgb_8bit[64] : R=51, G=204, B=204
rgb_8bit[65] : R=51, G=204, B=255
rgb_8bit[66] : R=51, G=255, B=0
rgb_8bit[67] : R=51, G=255, B=51
rgb_8bit[68] : R=51, G=255, B=102
rgb_8bit[69] : R=51, G=255, B=153
rgb_8bit[70] : R=51, G=255, B=204
rgb_8bit[71] : R=51, G=255, B=255
rgb_8bit[72] : R=102, G=0, B=0
rgb_8bit[73] : R=102, G=0, B=51
rgb_8bit[74] : R=102, G=0, B=102
rgb_8bit[75] : R=102, G=0, B=153
rgb_8bit[76] : R=102, G=0, B=204
rgb_8bit[77] : R=102, G=0, B=255
rgb_8bit[78] : R=102, G=51, B=0
rgb_8bit[79] : R=102, G=51, B=51
rgb_8bit[80] : R=102, G=51, B=102
rgb_8bit[81] : R=102, G=51, B=153
rgb_8bit[82] : R=102, G=51, B=204
rgb_8bit[83] : R=102, G=51, B=255
rgb_8bit[84] : R=102, G=102, B=0
rgb_8bit[85] : R=102, G=102, B=51
rgb_8bit[86] : R=102, G=102, B=102
rgb_8bit[87] : R=102, G=102, B=153
rgb_8bit[88] : R=102, G=102, B=204
rgb_8bit[89] : R=102, G=102, B=255
rgb_8bit[90] : R=102, G=153, B=0
rgb_8bit[91] : R=102, G=153, B=51
rgb_8bit[92] : R=102, G=153, B=102
rgb_8bit[93] : R=102, G=153, B=153
rgb_8bit[94] : R=102, G=153, B=204
rgb_8bit[95] : R=102, G=153, B=255
rgb_8bit[96] : R=102, G=204, B=0
rgb_8bit[97] : R=102, G=204, B=51
rgb_8bit[98] : R=102, G=204, B=102
rgb_8bit[99] : R=102, G=204, B=153
rgb_8bit[100] : R=102, G=204, B=204
rgb_8bit[101] : R=102, G=204, B=255
rgb_8bit[102] : R=102, G=255, B=0
rgb_8bit[103] : R=102, G=255, B=51
rgb_8bit[104] : R=102, G=255, B=102
rgb_8bit[105] : R=102, G=255, B=153
rgb_8bit[106] : R=102, G=255, B=204
rgb_8bit[107] : R=102, G=255, B=255
rgb_8bit[108] : R=153, G=0, B=0
rgb_8bit[109] : R=153, G=0, B=51
rgb_8bit[110] : R=153, G=0, B=102
rgb_8bit[111] : R=153, G=0, B=153
rgb_8bit[112] : R=153, G=0, B=204
rgb_8bit[113] : R=153, G=0, B=255
rgb_8bit[114] : R=153, G=51, B=0
rgb_8bit[115] : R=153, G=51, B=51
rgb_8bit[116] : R=153, G=51, B=102
rgb_8bit[117] : R=153, G=51, B=153
rgb_8bit[118] : R=153, G=51, B=204
rgb_8bit[119] : R=153, G=51, B=255
rgb_8bit[120] : R=153, G=102, B=0
rgb_8bit[121] : R=153, G=102, B=51
rgb_8bit[122] : R=153, G=102, B=102
rgb_8bit[123] : R=153, G=102, B=153
rgb_8bit[124] : R=153, G=102, B=204
rgb_8bit[125] : R=153, G=102, B=255
rgb_8bit[126] : R=153, G=153, B=0
rgb_8bit[127] : R=153, G=153, B=51
rgb_8bit[128] : R=153, G=153, B=102
rgb_8bit[129] : R=153, G=153, B=153
rgb_8bit[130] : R=153, G=153, B=204
rgb_8bit[131] : R=153, G=153, B=255
rgb_8bit[132] : R=153, G=204, B=0
rgb_8bit[133] : R=153, G=204, B=51
rgb_8bit[134] : R=153, G=204, B=102
rgb_8bit[135] : R=153, G=204, B=153
rgb_8bit[136] : R=153, G=204, B=204
rgb_8bit[137] : R=153, G=204, B=255
rgb_8bit[138] : R=153, G=255, B=0
rgb_8bit[139] : R=153, G=255, B=51
rgb_8bit[140] : R=153, G=255, B=102
rgb_8bit[141] : R=153, G=255, B=153
rgb_8bit[142] : R=153, G=255, B=204
rgb_8bit[143] : R=153, G=255, B=255
rgb_8bit[144] : R=204, G=0, B=0
rgb_8bit[145] : R=204, G=0, B=51
rgb_8bit[146] : R=204, G=0, B=102
rgb_8bit[147] : R=204, G=0, B=153
rgb_8bit[148] : R=204, G=0, B=204
rgb_8bit[149] : R=204, G=0, B=255
rgb_8bit[150] : R=204, G=51, B=0
rgb_8bit[151] : R=204, G=51, B=51
rgb_8bit[152] : R=204, G=51, B=102
rgb_8bit[153] : R=204, G=51, B=153
rgb_8bit[154] : R=204, G=51, B=204
rgb_8bit[155] : R=204, G=51, B=255
rgb_8bit[156] : R=204, G=102, B=0
rgb_8bit[157] : R=204, G=102, B=51
rgb_8bit[158] : R=204, G=102, B=102
rgb_8bit[159] : R=204, G=102, B=153
rgb_8bit[160] : R=204, G=102, B=204
rgb_8bit[161] : R=204, G=102, B=255
rgb_8bit[162] : R=204, G=153, B=0
rgb_8bit[163] : R=204, G=153, B=51
rgb_8bit[164] : R=204, G=153, B=102
rgb_8bit[165] : R=204, G=153, B=153
rgb_8bit[166] : R=204, G=153, B=204
rgb_8bit[167] : R=204, G=153, B=255
rgb_8bit[168] : R=204, G=204, B=0
rgb_8bit[169] : R=204, G=204, B=51
rgb_8bit[170] : R=204, G=204, B=102
rgb_8bit[171] : R=204, G=204, B=153
rgb_8bit[172] : R=204, G=204, B=204
rgb_8bit[173] : R=204, G=204, B=255
rgb_8bit[174] : R=204, G=255, B=0
rgb_8bit[175] : R=204, G=255, B=51
rgb_8bit[176] : R=204, G=255, B=102
rgb_8bit[177] : R=204, G=255, B=153
rgb_8bit[178] : R=204, G=255, B=204
rgb_8bit[179] : R=204, G=255, B=255
rgb_8bit[180] : R=255, G=0, B=0
rgb_8bit[181] : R=255, G=0, B=51
rgb_8bit[182] : R=255, G=0, B=102
rgb_8bit[183] : R=255, G=0, B=153
rgb_8bit[184] : R=255, G=0, B=204
rgb_8bit[185] : R=255, G=0, B=255
rgb_8bit[186] : R=255, G=51, B=0
rgb_8bit[187] : R=255, G=51, B=51
rgb_8bit[188] : R=255, G=51, B=102
rgb_8bit[189] : R=255, G=51, B=153
rgb_8bit[190] : R=255, G=51, B=204
rgb_8bit[191] : R=255, G=51, B=255
rgb_8bit[192] : R=255, G=102, B=0
rgb_8bit[193] : R=255, G=102, B=51
rgb_8bit[194] : R=255, G=102, B=102
rgb_8bit[195] : R=255, G=102, B=153
rgb_8bit[196] : R=255, G=102, B=204
rgb_8bit[197] : R=255, G=102, B=255
rgb_8bit[198] : R=255, G=153, B=0
rgb_8bit[199] : R=255, G=153, B=51
rgb_8bit[200] : R=255, G=153, B=102
rgb_8bit[201] : R=255, G=153, B=153
rgb_8bit[202] : R=255, G=153, B=204
rgb_8bit[203] : R=255, G=153, B=255
rgb_8bit[204] : R=255, G=204, B=0
rgb_8bit[205] : R=255, G=204, B=51
rgb_8bit[206] : R=255, G=204, B=102
rgb_8bit[207] : R=255, G=204, B=153
rgb_8bit[208] : R=255, G=204, B=204
rgb_8bit[209] : R=255, G=204, B=255
rgb_8bit[210] : R=255, G=255, B=0
rgb_8bit[211] : R=255, G=255, B=51
rgb_8bit[212] : R=255, G=255, B=102
rgb_8bit[213] : R=255, G=255, B=153
rgb_8bit[214] : R=255, G=255, B=204
rgb_8bit[215] : R=255, G=255, B=255

