"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"PAD2","PAD-3x2mm","314.5mm","498mm","314.5mm","498mm","314.5mm","498mm","B","180.00","Test Pin"
"PAD1","PAD-3x2mm","314.5mm","502.5mm","314.5mm","502.5mm","314.5mm","502.5mm","B","180.00","Test Pin"
"DS2","SW-DIP-TU-04","289mm","525mm","289mm","525mm","290.905mm","522.85mm","B","180.00","TU-04"
"DS1","SW-DIP-TU-02","278.5mm","525mm","278.5mm","525mm","279.135mm","522.85mm","B","180.00","TU-02"
"U19","SO8NB","162.5mm","519.5mm","162.5mm","519.5mm","160.595mm","522.3702mm","B","360.00","TL7660CDR"
"U18","SOT223_N","162.5mm","533.2mm","162.5mm","533.2mm","164.8mm","530.3mm","B","90.00","LM1117-3.3"
"U17","TO263-5LD-PL-1","107mm","520.3mm","113mm","520.3mm","113mm","523.7mm","B","270.00","LM2576-5.0WU"
"U16","SO8_N","190.5mm","507.5mm","190.5mm","507.5mm","192.405mm","505.1mm","B","90.00","INA821IDR"
"U15","SO8_N","317mm","525.42mm","317mm","525.42mm","314.6mm","523.515mm","B","360.00","MAX3485"
"U14","SO8_N","190.5mm","519.5mm","190.5mm","519.5mm","192.405mm","517.1mm","B","90.00","OP07CD"
"U13","TSSOP-16P","350mm","505mm","350mm","505mm","347.725mm","508.3mm","B","270.00","SN74LV138APWR"
"U12","TSSOP-16P","270mm","505mm","270mm","505mm","267.725mm","508.3mm","B","270.00","SN74LV138APWR"
"U11","TSSOP-16P","140mm","505mm","140mm","505mm","137.725mm","508.3mm","B","270.00","SN74LV138APWR"
"U10","TSSOP-16P","60mm","505mm","60mm","505mm","57.725mm","508.3mm","B","270.00","SN74LV138APWR"
"U9","HXQFN16","224mm","494mm","224mm","494mm","223.25mm","495.5mm","B","270.00","NX3L4051HR"
"U8","HXQFN16","210mm","494mm","210mm","494mm","209.25mm","495.5mm","B","270.00","NX3L4051HR"
"U7","HXQFN16","196mm","494mm","196mm","494mm","195.25mm","495.5mm","B","270.00","NX3L4051HR"
